open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,3,26,3,0
0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,4,0,0
0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,0,6,28,4,0
0,-1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,17,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,-2,-2,2,0,0,0,0,0,1,0,21,-3,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,27,-4,1
0,-1,0,0,1,0,-1,-2,1,0,0,0,1,0,0,1,19,-2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1
0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,1,4,16,2,1
0,0,-1,0,2,0,2,0,2,1,0,1,1,0,0,1,30,-3,1
0,0,0,0,1,0,0,0,2,1,1,1,1,0,1,6,32,-2,1
0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,5,9,-1,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,3,11,-1,0
0,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,3,12,1,1
0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,1,1,17,-1,0
0,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,1,2,20,1,1
0,-1,0,0,0,0,-3,0,-2,-1,0,0,-1,0,0,1,25,2,0
0,0,-1,0,0,0,-1,-1,1,0,0,0,1,0,0,1,22,0,1
0,-1,0,0,0,0,-3,0,-2,-2,0,0,-1,0,0,1,27,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,1,14,1,1
0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,2,26,-2,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,2,7,0,0
0,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,1,1,19,1,0
0,0,0,0,-1,0,2,1,-1,0,0,1,-1,0,0,3,21,0,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,4,2,1
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,8,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
0,0,0,0,-1,0,-1,1,-2,-1,0,0,-1,0,0,5,23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0
0,0,0,0,1,0,0,1,2,1,0,0,1,0,1,9,34,0,1
0,0,0,0,0,0,-2,0,-1,0,0,0,0,0,1,5,13,0,0
0,0,0,0,-2,0,-2,0,-3,-1,-1,-1,-1,0,0,4,31,5,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,0
0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,28,-3,1
0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,10,2,1
0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,2,15,-1,0
0,0,0,0,-1,0,1,-1,1,0,0,0,1,0,0,4,18,1,1
0,0,-1,0,-2,0,-1,-1,-2,-1,0,-1,-1,0,0,1,33,2,0
0,0,0,0,0,0,1,-1,2,1,0,0,1,0,0,4,24,-1,1
0,0,0,0,-2,0,-2,0,-3,-1,0,-1,-1,0,0,6,29,3,0
0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,3,7,0,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,8,1,0
0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,4,17,0,1
0,0,0,0,-1,0,-1,1,1,0,0,0,-1,0,1,3,11,-2,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,5,1,1
0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,7,18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1
0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,1,2,14,1,0
-1,-2,0,0,1,0,0,-1,2,1,0,0,1,0,0,3,26,0,0
0,0,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,19,0,1
0,0,0,0,0,0,-1,1,-3,-1,0,0,-2,0,1,8,27,0,1
0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,15,0,1
0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,2,13,0,1
